Customer_ID,Age,Gender,Location,Product_Category,Item_Purchased,Purchase_Amount,Discount_Percent,Review_Rating,Previous_Purchases,Subscription_Status,Payment_Method,Shipping_Type,Purchase_Frequency
10001,22.0,Female,Multan,Clothing,Sneakers,5072.0,20,4.6,23,No,Digital Wallet,Same Day,Monthly
10002,55.0,Female,Lahore,Electronics,Keyboard,6755.0,0,4.2,23,No,Credit Card,Standard,Monthly
10003,49.0,Male,Multan,Clothing,Sneakers,4139.0,10,3.9,7,Yes,Digital Wallet,Express,Weekly
10004,39.0,Male,Lahore,Electronics,Smartwatch,3222.0,20,4.1,14,No,Cash,Express,Monthly
10005,38.0,Male,Lahore,Home,Cookware,500.0,30,3.1,4,No,Debit Card,Standard,Weekly
10006,59.0,Female,Lahore,Clothing,Jeans,5910.0,10,4.5,16,No,Credit Card,Standard,Weekly
10007,22.0,Female,Islamabad,Electronics,Keyboard,4251.0,0,2.9,17,Yes,Debit Card,Standard,Monthly
10008,51.0,Male,Faisalabad,Books,Notebook,2272.0,15,4.5,17,Yes,Digital Wallet,Express,Weekly
10009,27.0,Male,Islamabad,Clothing,Jacket,4779.0,0,4.7,14,No,Bank Transfer,Standard,Fortnightly
10010,22.0,Female,Lahore,Electronics,Smartwatch,3216.0,20,4.0,17,No,Bank Transfer,Express,Monthly
10011,43.0,Male,Karachi,Home,Cushion,3337.0,15,3.7,13,Yes,Credit Card,Standard,Fortnightly
10012,64.0,Female,Peshawar,Clothing,Jacket,5834.0,20,4.1,20,Yes,Digital Wallet,Standard,Rarely
10013,53.0,Male,Peshawar,Clothing,T-Shirt,1556.0,25,1.5,4,No,Debit Card,Express,Rarely
10014,54.0,Male,Multan,Clothing,Jacket,6804.0,15,4.0,12,Yes,Bank Transfer,Standard,Monthly
10015,52.0,Female,Lahore,Books,Notebook,1425.0,15,3.7,10,No,Bank Transfer,Express,Rarely
10016,55.0,Male,Multan,Clothing,Jeans,3042.0,20,3.8,13,No,Bank Transfer,Standard,Quarterly
10017,42.0,Male,Multan,Clothing,Jacket,8730.0,25,4.4,3,Yes,Bank Transfer,Same Day,Fortnightly
10018,,Male,Faisalabad,Clothing,T-Shirt,6980.0,25,3.7,8,No,Debit Card,Standard,Quarterly
10019,58.0,Male,Lahore,Clothing,Jacket,4715.0,0,2.9,23,Yes,Bank Transfer,Same Day,Weekly
10020,39.0,Male,Peshawar,Beauty,Shampoo,2431.0,15,3.7,2,Yes,Digital Wallet,Express,Quarterly
10021,42.0,Male,Islamabad,Clothing,Jeans,3336.0,5,3.9,15,No,Credit Card,Standard,Monthly
10022,35.0,Male,Lahore,Beauty,Face Cream,4661.0,25,3.9,16,No,Debit Card,Standard,Weekly
10023,26.0,Male,Karachi,Beauty,Perfume,4583.0,15,3.9,11,No,Cash,Standard,Fortnightly
10024,62.0,Female,Islamabad,Sports,Football,4300.0,10,4.6,0,Yes,Credit Card,Standard,Rarely
10025,55.0,Female,Lahore,Clothing,Jeans,4432.0,5,2.9,0,Yes,Bank Transfer,Express,Fortnightly
10026,48.0,Male,Karachi,Sports,Cricket Bat,4028.0,10,3.9,6,No,Bank Transfer,Standard,Fortnightly
10027,37.0,Male,Islamabad,Beauty,Face Cream,1328.0,20,4.8,2,No,Credit Card,Standard,Fortnightly
10028,57.0,Female,Peshawar,Clothing,Jacket,3364.0,5,2.4,2,No,Debit Card,Standard,Monthly
10029,44.0,Female,Lahore,Home,Lamp,6512.0,0,3.9,4,Yes,Digital Wallet,Standard,Quarterly
10030,39.0,Female,Faisalabad,Sports,Running Shoes,1490.0,25,3.3,4,No,Cash,Express,Quarterly
10031,39.0,Male,Peshawar,Clothing,Jacket,4083.0,20,3.5,20,No,Cash,Standard,Monthly
10032,28.0,Male,Multan,Books,Notebook,2697.0,5,3.1,15,No,Credit Card,Express,Fortnightly
